date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:26	627493/627493	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Apr%202026%2021:04:22%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/119074.html	(from )
22:04:27	86/86	---MCZ	200	added ('OK')	text/plain	etag:W/%2225906654ca2bd41:0%22	https://apps.calbar.ca.gov/robots.txt		(from )
22:04:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2004%20Apr%202026%2021:04:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/ADMIN/Desktop/attorney%20search/www.googletagmanager.com/gtm.15445.delayed	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:04:48	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%2270df93a2af6db1:0%22	https://apps.calbar.ca.gov/attorney/Content/font-awesome/css/font-awesome.min.css	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Content/font-awesome/css/font-awesome.min.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:04:49	801453/801453	---MCZ	200	added ('OK')	text/css	etag:W/%22242eacab82b047541aaeed9a0c9f0044%22	https://kendo.cdn.telerik.com/2021.1.224/styles/kendo.default-v2.min.css	C:/Users/ADMIN/Desktop/attorney%20search/kendo.cdn.telerik.com/2021.1.224/styles/kendo.default-v2.min.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:04:50	81491/81491	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c68a0b7137ce37af21a82492df9be4e6%22	https://kendo.cdn.telerik.com/2021.1.224/js/jszip.min.js	C:/Users/ADMIN/Desktop/attorney%20search/kendo.cdn.telerik.com/2021.1.224/js/jszip.min.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:04:51	18931/18931	---MCZ	200	added ('OK')	text/javascript	etag:W/%224c5ac0cafa548ecfb6c57874ce1f5d97%22	https://kendo.cdn.telerik.com/2021.1.224/js/kendo.aspnetmvc.min.js	C:/Users/ADMIN/Desktop/attorney%20search/kendo.cdn.telerik.com/2021.1.224/js/kendo.aspnetmvc.min.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:04:52	7674/7674	---M--	200	added ('OK')	application/javascript	etag:%229899b6a2af6db1:0%22	https://apps.calbar.ca.gov/attorney/Scripts/kendo.modernizr.custom.js	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Scripts/kendo.modernizr.custom.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:04:57	365780/365780	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2004%20Apr%202026%2021:04:55%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/ADMIN/Desktop/attorney%20search/connect.facebook.net/en_US/fbevents.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:04:58	1566/1566	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202026%2021:04:58%20GMT	http://js.hs-scripts.com/22118717.js	C:/Users/ADMIN/Desktop/attorney%20search/js.hs-scripts.com/22118717.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:04:59	3905093/3905093	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b05b7736c3ec13b892eceea684da431d%22	https://kendo.cdn.telerik.com/2021.1.224/js/kendo.all.min.js	C:/Users/ADMIN/Desktop/attorney%20search/kendo.cdn.telerik.com/2021.1.224/js/kendo.all.min.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:06	407773/407773	---MCZ	200	added ('OK')	text/css	etag:W/%22590b4788fa2dc1:0%22	https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:06	77284/77284	---MCZ	200	added ('OK')	text/css	etag:W/%22c6247ae78f55dc1:0%22	https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme_editor.css	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/css/base_theme/simplytheme_editor.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:06	709/709	---MCZ	200	added ('OK')	text/css	etag:W/%22c7d588ef8f55dc1:0%22	https://archive.calbar.ca.gov/skins/css/sbc_blue.css	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/css/sbc_blue.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:09	171/171	---MCZ	200	added ('OK')	text/css	etag:W/%22dc1378d8764fdc1:0%22	https://archive.calbar.ca.gov/skins/css/header.css	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/css/header.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:09	57590/57590	---MCZ	200	added ('OK')	text/css	etag:W/%22d9147d9764fdc1:0%22	https://archive.calbar.ca.gov/skins/css/mmenu.css	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/css/mmenu.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:09	3216/3216	---MCZ	200	added ('OK')	text/css	etag:W/%2237a5ca71a75edc1:0%22	https://archive.calbar.ca.gov/skins/css/footer.css	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/css/footer.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:12	1026/1026	---MCZ	200	added ('OK')	text/css	etag:W/%22adfbe727de6edc1:0%22	https://archive.calbar.ca.gov/skins/css/site-common.css	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/css/site-common.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:12	1859/1859	---MCZ	200	added ('OK')	text/css	etag:W/%22df4d33bef46adc1:0%22	https://apps.calbar.ca.gov/attorney/Content/css/site-custom.css	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Content/css/site-custom.css	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:14	13064/13064	---MCZ	200	added ('OK')	application/javascript	etag:W/%226763547c-3308%22	https://cdn.gtranslate.net/widgets/latest/dropdown.js	C:/Users/ADMIN/Desktop/attorney%20search/cdn.gtranslate.net/widgets/latest/dropdown.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:15	5586/5586	---M--	200	added ('OK')	application/javascript	etag:%222ae5d0b051a8dc1:0%22	https://archive.calbar.ca.gov/skins/scripts/menujs/script.js	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/scripts/menujs/script.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:17	844/844	---M--	200	added ('OK')	application/javascript	etag:%22fb2584f5771dc1:0%22	https://archive.calbar.ca.gov/skins/scripts/menujs/responsive_menu.bootstrap.js	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/scripts/menujs/responsive_menu.bootstrap.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:20	755/755	---M--	200	added ('OK')	application/javascript	etag:%224d7c41e67170dc1:0%22	https://archive.calbar.ca.gov/skins/scripts/menujs/remove-wrapper.js	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/scripts/menujs/remove-wrapper.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:25	5015/5015	---M--	200	added ('OK')	application/javascript	etag:%228c24a8a2af6db1:0%22	https://apps.calbar.ca.gov/attorney/Content/scripts/scripts.js	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Content/scripts/scripts.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:27	4527/4527	---M--	200	added ('OK')	application/javascript	etag:%226f72a8a2af6db1:0%22	https://apps.calbar.ca.gov/attorney/Content/scripts/scripts_attysrch.js?20180105	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Content/scripts/scripts_attysrch56fa.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:27	127663/127663	---M--	200	added ('OK')	application/javascript	etag:%22b3cbd12d2b6edc1:0%22	https://archive.calbar.ca.gov/skins/scripts/menujs/mmenu.js	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/scripts/menujs/mmenu.js	(from https://apps.calbar.ca.gov/attorney/Licensee/Detail/119074)
22:05:36	613293/613293	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Apr%202026%2021:05:32%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/t	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/t.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:37	543/543	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202026%2021:05:39%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/t.resolvedLink	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/t.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:41	613293/613293	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Apr%202026%2021:05:30%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/signals/config/	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:41	613293/613293	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Apr%202026%2021:05:35%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/e	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/e.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:41	613293/613293	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Apr%202026%2021:05:38%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/signals/plugins/	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:42	1245/1245	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202026%2021:05:44%20GMT	https://apps.calbar.ca.gov/signals/iwl.js	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:43	1245/1245	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202026%2021:05:45%20GMT	https://apps.calbar.ca.gov/signals/iwl.js?pixel_id=	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/signals/iwl0fc5.js	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:43	543/543	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202026%2021:05:45%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/n.dl	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/n.dl	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:43	543/543	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202026%2021:05:45%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/n.rl	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/n.rl	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:45	613293/613293	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Apr%202026%2021:05:39%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/schema.org/	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:45	613293/613293	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Apr%202026%2021:05:43%20GMT	https://apps.calbar.ca.gov/attorney/Licensee/Detail/o	C:/Users/ADMIN/Desktop/attorney%20search/apps.calbar.ca.gov/attorney/Licensee/Detail/o.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:05:46	2112/2112	---M--	200	added ('OK')	image/gif	etag:%22b4ff61d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/loading-small.gif	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/loading-small.gif	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:46	189/189	---M--	200	added ('OK')	image/png	etag:%224bf442d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/application-octet-stream.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/application-octet-stream.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:46	260/260	---M--	200	added ('OK')	image/png	etag:%22a6fb66d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/package-x-generic.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/package-x-generic.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:47	183/183	---M--	200	added ('OK')	image/png	etag:%2282c97bd6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/x-office-spreadsheet.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/x-office-spreadsheet.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:48	196/196	---M--	200	added ('OK')	image/png	etag:%22738e79d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/x-office-document.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/x-office-document.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:48	181/181	---M--	200	added ('OK')	image/png	etag:%22738e79d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/x-office-presentation.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/x-office-presentation.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:49	276/276	---M--	200	added ('OK')	image/png	etag:%22414a74d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/text-x-script.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/text-x-script.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:49	265/265	---M--	200	added ('OK')	image/png	etag:%22813671d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/text-html.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/text-html.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
